Title,Body,Labels,Milestone
Freeze v1.0 Baseline Artifacts,"Run full test suite, generate baseline outputs from mock GEDCOM files, archive results, and tag repository as v1.0-baseline.","baseline,critical","v1.1"
Define Output Schema Contract,"Create schemas/output_schema.json defining required fields, null handling, and cardinality for all outputs.","schema,critical","v1.1"
Define Entity Schema Contract,"Create schemas/entity_schema.json defining entity structures, identifiers, and foreign key expectations.","schema,critical","v1.1"
Support Multiple NAME Records per INDI,"Update parser to capture and preserve multiple NAME blocks per individual (birth, married, AKA).","parser,high","v1.1"
Parse All GEDCOM Name Components,"Ensure NPFX, SPFX, GIVN, NICK, NSFX components are parsed and preserved distinctly.","parser,high","v1.1"
Robust Nickname Extraction,"Detect and normalize nicknames expressed via quotes or parentheses in NAME values.","parser,medium","v1.1"
Expand EVEN Record Support,"Add full support for standard and custom GEDCOM EVEN records, including type, date, place, and description.","events,high","v1.1"
Complete SOUR / REPO / NOTE / OBJE Parsing,"Ensure all citation, repository, note, and media structures are parsed and cross-referenced correctly.","parser,high","v1.1"
Implement Per-GEDCOM Database Creation,"Create one database per GEDCOM file using dynamic DB factory logic.","database,critical","v1.1"
Restore Missing GEDCOM Tables,"Restore places, citations, associations, and media tables required by GEDCOM 5.5.5.","database,high","v1.1"
Enforce Foreign Key Constraints,"Add and enforce foreign key constraints between individuals, families, sources, and events.","database,high","v1.1"
Add Schema Validator,"Implement schema_validator.py to validate DB schema before and after data insertion.","database,medium","v1.1"
Refactor Enrichment into Dedicated Module,"Move phonetic and romanization logic into gedcom_parser/enrichments module.","refactor,high","v1.1"
Config-Driven Enrichment Control,"Allow enrichment features to be enabled or disabled via enrich_names_config.yml.","enrichment,medium","v1.1"
Preserve Diacritics in Normalization,"Ensure accented characters are preserved unless explicitly configured otherwise.","normalization,medium","v1.1"
Pre-Parse GEDCOM Validation,"Validate GEDCOM structure, encoding, line lengths, and CONT/CONC usage before parsing.","validation,high","v1.1"
Post-Parse Schema Validation,"Validate parsed output against output and entity schemas.","validation,high","v1.1"
Parsing Error Report Generation,"Generate parsing_errors.json with line numbers, xrefs, and contextual error information.","validation,medium","v1.1"
Batch Processing for Enrichment,"Optimize enrichment logic using batch or vectorized processing for large GEDCOM files.","performance,medium","v1.1"
Progress Reporting for Long Runs,"Add progress indicators during long parsing operations.","ux,low","v1.1"
Log Rotation per Run,"Implement per-run or rotating logs to prevent unbounded growth.","logging,low","v1.1"
Remove Legacy / Redundant Code,"Identify and remove legacy scripts or duplicated utility code.","refactor,medium","v1.1"
Expand Test Coverage for New Features,"Add tests covering new parsing, validation, and enrichment features.","tests,high","v1.1"
Update README & CLI Documentation,"Update documentation to reflect v1.1 features, configs, and usage.","docs,medium","v1.1"
v1.1 Changelog & Release Notes,"Prepare changelog and release notes summarizing v1.1 changes.","docs,low","v1.1"
